description,category,disposal_instruction,common_confusion,material_composition
wet green Supermarket glass bottle with label attached,Glass,Rinse container before recycling.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
partial spotted Commercial bread,Food Organics,Keep separate from recyclable materials.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
floral cotton Bulk pencil,Miscellaneous Trash,Consider if items can be repaired or repurposed.,,Various non-recyclable materials often with mixed composition.
massive white Brand B meat scraps partially filled,Food Organics,Keep separate from recyclable materials.,,Biodegradable matter derived from plant or animal sources.
blue bubble wrap,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
dry green Artisanal pizza box with contents,Cardboard,Break down large boxes to save space.,,Thick paper pulp formed into corrugated or solid sheets.
glass sheet,Glass,Non-container glass may require special disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
damaged red Supermarket grass clippings,Vegetation,Some municipalities offer special collection services.,,Plant matter composed primarily of cellulose and lignin.
transparent Designer electronic device with food residue,Miscellaneous Trash,Check for recyclable components before disposal.,,Various non-recyclable materials often with mixed composition.
wrinkled personal patterned Supermarket metal bottle,Metal,Large metal items should be taken to recycling center.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
crumpled personal Budget metal screw,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
stained large Artisanal wrapping paper,Paper,Remove any plastic or metal attachments before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
clean white corrugated box,Cardboard,Flatten boxes before placing in cardboard recycling.,,Thick paper pulp formed into corrugated or solid sheets.
wet oversized six-pack holder,Cardboard,"If contaminated with food, tear off contaminated parts.",,Thick paper pulp formed into corrugated or solid sheets.
clean six-pack holder with label attached,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.",,Thick paper pulp formed into corrugated or solid sheets.
oversized pink Artisanal glass ornament,Glass,"Place in glass recycling bin, sorted by color if required.",,"Silica-based material, may contain additives for color or strength."
blue Brand A steel scrap with product remaining,Metal,Large metal items should be taken to recycling center.,,"Aluminum, steel, tin or mixed metal alloys."
wrinkled travel-sized notebook,Paper,"If stained with food or oil, place in general waste.",,Cellulose fibers derived from wood pulp or recycled paper.
Generic metal lid,Metal,Large metal items should be taken to recycling center.,,"Aluminum, steel, tin or mixed metal alloys."
orange pizza box with label attached,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.",,Thick paper pulp formed into corrugated or solid sheets.
notebook,Paper,Remove any plastic or metal attachments before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
soiled plastic straw leaking,Plastic,Rinse container before recycling.,,Polymer materials derived from petrochemicals or plant-based sources.
fish bones with food residue,Food Organics,Keep separate from recyclable materials.,,Biodegradable matter derived from plant or animal sources.
broken red nut shells with liquid inside,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,,Biodegradable matter derived from plant or animal sources.
Brand A corrugated box,Cardboard,"If contaminated with food, tear off contaminated parts.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
wet regular-sized glass vase sealed,Glass,Rinse container before recycling.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
crumpled pink leather polyester jacket,Textile Trash,Look for textile recycling programs in your area.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
crumpled food packaging,Cardboard,Break down large boxes to save space.,,Thick paper pulp formed into corrugated or solid sheets.
partial fun-sized white CD/DVD with contents,Miscellaneous Trash,Hazardous items like batteries require special disposal.,,Various non-recyclable materials often with mixed composition.
Imported glass ornament,Glass,Rinse container before recycling.,,"Silica-based material, may contain additives for color or strength."
dirty regular-sized spotted synthetic Premium gloves,Textile Trash,Look for textile recycling programs in your area.,,"Fabric made from natural or synthetic fibers, may include blends."
silicone pen,Miscellaneous Trash,Check for recyclable components before disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
full regular-sized white Artisanal office paper,Paper,"If stained with food or oil, place in general waste.",Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
used personal purple Supermarket tree bark,Vegetation,Check if your area has seasonal leaf collection.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
used black silicone socks with contents,Textile Trash,"If no recycling options exist, place in general waste.","Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
broken compact blue Local avocado pit,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
wrinkled tiny floral dairy products leaking,Food Organics,Keep separate from recyclable materials.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
intact standard yellow Brand B milk jug,Plastic,Rinse container before recycling.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
wrinkled green fruit peel with label attached,Food Organics,Keep separate from recyclable materials.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
partial yellow Artisanal water bottle,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",,Polymer materials derived from petrochemicals or plant-based sources.
new regular-sized multi-colored Imported vegetable plant,Vegetation,Consider home composting for small amounts.,,Plant matter composed primarily of cellulose and lignin.
empty enormous yellow bread,Food Organics,"If no compost available, place in general waste.",Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
massive pink champagne bottle,Glass,Non-container glass may require special disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
clean wrapping paper,Paper,"If stained with food or oil, place in general waste.",,Cellulose fibers derived from wood pulp or recycled paper.
dry regular-sized white Local grass clippings with product remaining,Vegetation,Place in green waste bin or compost.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
Organic plastic lid,Plastic,Remove labels if possible.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
green plastic wrap,Plastic,Check recycling number on bottom and sort accordingly.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
regular-sized Budget glass sheet,Glass,"Remove caps, lids, and corks before recycling.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
wrinkled medium white Supermarket foil wrapper,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",,"Aluminum, steel, tin or mixed metal alloys."
clean spotted newspaper,Paper,Ensure it is clean and dry before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
stained purple paper Brand A fabric scrap with food residue,Textile Trash,Look for textile recycling programs in your area.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
pink six-pack holder with liquid inside,Cardboard,Break down large boxes to save space.,,Thick paper pulp formed into corrugated or solid sheets.
personal white metal lid empty,Metal,Large metal items should be taken to recycling center.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
partial multi-colored Natural sticky note,Paper,"If stained with food or oil, place in general waste.",,Cellulose fibers derived from wood pulp or recycled paper.
pink fabric wool sweater,Textile Trash,Consider donating if still usable.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
damaged Bulk hedge trimmings with product remaining,Vegetation,Large branches may need to be cut to appropriate size.,,Plant matter composed primarily of cellulose and lignin.
soiled weeds,Vegetation,Some municipalities offer special collection services.,,Plant matter composed primarily of cellulose and lignin.
leftover pasta,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
stained Homemade glass sheet,Glass,Non-container glass may require special disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
spotted polyester jacket sealed,Textile Trash,Some retailers accept old clothing for recycling.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
crumpled purple shipping box,Cardboard,"If contaminated with food, tear off contaminated parts.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
massive Budget bush clippings,Vegetation,Consider home composting for small amounts.,,Plant matter composed primarily of cellulose and lignin.
black wooden tape,Miscellaneous Trash,Hazardous items like batteries require special disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
brochure,Paper,Ensure it is clean and dry before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
travel-sized cereal box,Cardboard,Flatten boxes before placing in cardboard recycling.,,Thick paper pulp formed into corrugated or solid sheets.
stained standard blue olive pits,Food Organics,"If no compost available, place in general waste.",Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
dirty fun-sized curtain,Textile Trash,Consider donating if still usable.,,"Fabric made from natural or synthetic fibers, may include blends."
soiled tiny gold cardboard mailer,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.",,Thick paper pulp formed into corrugated or solid sheets.
personal purple newspaper,Paper,Ensure it is clean and dry before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
new standard aerosol can with label attached,Metal,Large metal items should be taken to recycling center.,,"Aluminum, steel, tin or mixed metal alloys."
oversized Eco-Friendly notebook paper,Paper,Place in paper recycling bin.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
Eco-Friendly toothbrush,Plastic,Rinse container before recycling.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
torn travel-sized brochure,Paper,Ensure it is clean and dry before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
used Natural metal screw containing residue,Metal,Large metal items should be taken to recycling center.,,"Aluminum, steel, tin or mixed metal alloys."
plastic Brand A old t-shirt,Textile Trash,Some retailers accept old clothing for recycling.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
glass tabletop,Glass,Non-container glass may require special disposal.,,"Silica-based material, may contain additives for color or strength."
new large transparent corrugated box with product remaining,Cardboard,Flatten boxes before placing in cardboard recycling.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
fun-sized glass Designer wool sweater,Textile Trash,"If no recycling options exist, place in general waste.",,"Fabric made from natural or synthetic fibers, may include blends."
patterned wine bottle,Glass,Rinse container before recycling.,,"Silica-based material, may contain additives for color or strength."
stained medium white wooden ceramic mug,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,,Various non-recyclable materials often with mixed composition.
mini black fabric worn jeans,Textile Trash,"If no recycling options exist, place in general waste.",,"Fabric made from natural or synthetic fibers, may include blends."
crumpled disposable diaper,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
stained compact transparent Eco-Friendly plastic wrap,Plastic,Plastic bags can be returned to supermarket collection points.,,Polymer materials derived from petrochemicals or plant-based sources.
partial massive cotton Designer gloves,Textile Trash,Cut into rags for home use if appropriate.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
dry bubble wrap sealed,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
new mini striped branches,Vegetation,Place in green waste bin or compost.,,Plant matter composed primarily of cellulose and lignin.
ripped mini white plastic bag,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",,Polymer materials derived from petrochemicals or plant-based sources.
used industrial carpet piece,Textile Trash,"If no recycling options exist, place in general waste.","Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
mini floral socks,Textile Trash,"If no recycling options exist, place in general waste.","Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
industrial spotted potted plant with label attached,Vegetation,Consider home composting for small amounts.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
used oversized white drinking glass,Glass,Non-container glass may require special disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
folded oversized gold houseplant with product remaining,Vegetation,Place in green waste bin or compost.,,Plant matter composed primarily of cellulose and lignin.
personal Premium soda can,Metal,Place in metal recycling bin.,,"Aluminum, steel, tin or mixed metal alloys."
partial yellow CD case,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
spotted leather Brand B leather belt partially filled,Textile Trash,"If no recycling options exist, place in general waste.","Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
used tiny champagne bottle,Glass,Broken glass should be wrapped and labeled before disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
new Natural six-pack holder,Cardboard,Break down large boxes to save space.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
crumpled small blue biodegradable pencil,Miscellaneous Trash,Check for recyclable components before disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
industrial spotted shampoo bottle,Plastic,Remove labels if possible.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
dry enormous yellow steel container,Metal,Remove any non-metal parts if possible.,,"Aluminum, steel, tin or mixed metal alloys."
oversized gold silicone Imported leather belt,Textile Trash,Look for textile recycling programs in your area.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
full small food scraps with product remaining,Food Organics,Keep separate from recyclable materials.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
partial brown plastic wrap,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
stained composite tablecloth,Textile Trash,Cut into rags for home use if appropriate.,,"Fabric made from natural or synthetic fibers, may include blends."
small dairy products,Food Organics,"If no compost available, place in general waste.",Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
tiny pencil,Miscellaneous Trash,Hazardous items like batteries require special disposal.,,Various non-recyclable materials often with mixed composition.
folded tiny Organic silk tie,Textile Trash,"If no recycling options exist, place in general waste.",,"Fabric made from natural or synthetic fibers, may include blends."
dirty oversized Bulk drinking glass,Glass,Non-container glass may require special disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
oversized fruit peel,Food Organics,Place in organic waste or compost bin.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
chicken bones,Food Organics,Place in organic waste or compost bin.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
new standard transparent grass clippings,Vegetation,Place in green waste bin or compost.,,Plant matter composed primarily of cellulose and lignin.
empty floral rubber socks,Textile Trash,"If no recycling options exist, place in general waste.","Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
stained transparent Organic scarf empty,Textile Trash,Look for textile recycling programs in your area.,,"Fabric made from natural or synthetic fibers, may include blends."
stained multi-colored dairy products,Food Organics,Place in organic waste or compost bin.,,Biodegradable matter derived from plant or animal sources.
wet black perfume bottle leaking,Glass,Non-container glass may require special disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
tree limbs,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
ripped oversized leather Eco-Friendly rug sealed,Textile Trash,Cut into rags for home use if appropriate.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
soiled gold corrugated box,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.",,Thick paper pulp formed into corrugated or solid sheets.
full blue synthetic tape,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
torn massive aluminum can,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
full massive vegetable waste,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
folded massive plastic Generic bed sheet,Textile Trash,Look for textile recycling programs in your area.,,"Fabric made from natural or synthetic fibers, may include blends."
broken enormous white plant cuttings containing residue,Vegetation,Place in green waste bin or compost.,,Plant matter composed primarily of cellulose and lignin.
clean multi-colored food packaging,Cardboard,"If contaminated with food, tear off contaminated parts.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
full medium floral plant stems with liquid inside,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
dirty small purple Imported gloves with contents,Textile Trash,Some retailers accept old clothing for recycling.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
medium silver detergent bottle,Plastic,Plastic bags can be returned to supermarket collection points.,,Polymer materials derived from petrochemicals or plant-based sources.
wet oversized metal coat hanger,Metal,Large metal items should be taken to recycling center.,,"Aluminum, steel, tin or mixed metal alloys."
broken black Organic cardboard tube empty,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.",,Thick paper pulp formed into corrugated or solid sheets.
new enormous Eco-Friendly toilet paper roll,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.",,Thick paper pulp formed into corrugated or solid sheets.
large orange glass Local pencil,Miscellaneous Trash,Check for recyclable components before disposal.,,Various non-recyclable materials often with mixed composition.
enormous Local carpet piece,Textile Trash,Cut into rags for home use if appropriate.,,"Fabric made from natural or synthetic fibers, may include blends."
intact multi-colored takeout container empty,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
used gold metal tube,Metal,Remove any non-metal parts if possible.,,"Aluminum, steel, tin or mixed metal alloys."
partial purple rubber band leaking,Miscellaneous Trash,Hazardous items like batteries require special disposal.,,Various non-recyclable materials often with mixed composition.
dry personal white vacuum dust with food residue,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
dirty massive pink plant stems,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
dry personal spotted nut shells with product remaining,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,,Biodegradable matter derived from plant or animal sources.
fun-sized metal Bulk baby clothes,Textile Trash,Consider donating if still usable.,"Some textiles can be recycled or donated, even if worn or torn.","Fabric made from natural or synthetic fibers, may include blends."
clean purple copper wire,Metal,Large metal items should be taken to recycling center.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
enormous floral printer paper,Paper,Shred sensitive documents before recycling.,,Cellulose fibers derived from wood pulp or recycled paper.
industrial spotted Designer gift box,Cardboard,Break down large boxes to save space.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
wet personal striped ceramic Premium pen sealed,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
clean regular-sized Homemade wire hanger,Metal,Place in metal recycling bin.,,"Aluminum, steel, tin or mixed metal alloys."
massive spotted hedge trimmings,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
empty fun-sized Brand B ceramic mug with product remaining,Miscellaneous Trash,Check for recyclable components before disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
intact industrial silver plastic straw,Plastic,Remove labels if possible.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
wet oversized Artisanal aluminum can with liquid inside,Metal,Place in metal recycling bin.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
new small pink Artisanal CD case,Plastic,Remove labels if possible.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
dirty industrial orange Brand A wine bottle with liquid inside,Glass,"Remove caps, lids, and corks before recycling.",,"Silica-based material, may contain additives for color or strength."
crumpled yellow paperback book with food residue,Paper,Place in paper recycling bin.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
Organic weeds with label attached,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
dry oversized silver nail,Metal,Large metal items should be taken to recycling center.,Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
dry Artisanal shoe box,Cardboard,Break down large boxes to save space.,"Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
stained travel-sized blue shampoo bottle empty,Plastic,Plastic bags can be returned to supermarket collection points.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
crumpled oversized silver food tin,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",,"Aluminum, steel, tin or mixed metal alloys."
Brand B glass candle holder,Glass,"Remove caps, lids, and corks before recycling.",,"Silica-based material, may contain additives for color or strength."
wet blue marker,Miscellaneous Trash,Check for recyclable components before disposal.,,Various non-recyclable materials often with mixed composition.
crumpled fun-sized pink Imported foil wrapper,Metal,Large metal items should be taken to recycling center.,,"Aluminum, steel, tin or mixed metal alloys."
broken brown leather belt,Textile Trash,Consider donating if still usable.,,"Fabric made from natural or synthetic fibers, may include blends."
dry large glass ornament,Glass,"Place in glass recycling bin, sorted by color if required.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
medium Budget shampoo bottle,Plastic,Rinse container before recycling.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
empty Brand A garden waste,Vegetation,Large branches may need to be cut to appropriate size.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
damaged massive white sheet of paper,Paper,Remove any plastic or metal attachments before recycling.,Often confused with paperboard or cardboard. Shredded paper may require special handling.,Cellulose fibers derived from wood pulp or recycled paper.
broken medium red avocado pit partially filled,Food Organics,Can be used in home composting system (except meat and dairy in some cases).,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
soiled mini spotted Homemade metal tube,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",Items with mixed materials should be separated if possible. Check if your facility accepts aerosol cans.,"Aluminum, steel, tin or mixed metal alloys."
damaged soda bottle with liquid inside,Plastic,Remove labels if possible.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
used floral wine bottle,Glass,Rinse container before recycling.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
full transparent Budget appliance box,Cardboard,Flatten boxes before placing in cardboard recycling.,,Thick paper pulp formed into corrugated or solid sheets.
wet regular-sized green rubber band empty,Miscellaneous Trash,Electronics should be taken to e-waste collection points.,,Various non-recyclable materials often with mixed composition.
orange egg shells,Food Organics,"If no compost available, place in general waste.",,Biodegradable matter derived from plant or animal sources.
clean standard gold medicine bottle,Glass,Broken glass should be wrapped and labeled before disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
tiny blue Natural wine bottle,Glass,Broken glass should be wrapped and labeled before disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
wrinkled Local six-pack holder,Cardboard,"For waxed cardboard, check local guidelines as it may not be recyclable.",,Thick paper pulp formed into corrugated or solid sheets.
tiny Organic detergent bottle,Plastic,"If unmarked or non-recyclable plastic, place in general waste.",Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
clean oversized Commercial copper wire,Metal,Ensure it is clean and empty before recycling.,,"Aluminum, steel, tin or mixed metal alloys."
damaged standard transparent Brand B window glass sealed,Glass,"Remove caps, lids, and corks before recycling.",,"Silica-based material, may contain additives for color or strength."
clean standard gold Designer vacuum cleaner bag,Miscellaneous Trash,Check for recyclable components before disposal.,Check for hidden recyclable components before disposal.,Various non-recyclable materials often with mixed composition.
crumpled personal green Premium foil wrapper,Metal,"For aerosol cans, ensure they are completely empty and not pressurized.",,"Aluminum, steel, tin or mixed metal alloys."
new red metal cutlery,Metal,Large metal items should be taken to recycling center.,,"Aluminum, steel, tin or mixed metal alloys."
fruit peel sealed,Food Organics,Keep separate from recyclable materials.,Meat and dairy products may be restricted in some composting systems.,Biodegradable matter derived from plant or animal sources.
brown nut shells,Food Organics,Use compostable bags for collection if required.,,Biodegradable matter derived from plant or animal sources.
wet banana peel,Food Organics,"If no compost available, place in general waste.",,Biodegradable matter derived from plant or animal sources.
transparent Supermarket plant cuttings with product remaining,Vegetation,Check if your area has seasonal leaf collection.,,Plant matter composed primarily of cellulose and lignin.
crumpled oversized ceramic bed sheet with food residue,Textile Trash,"If no recycling options exist, place in general waste.",,"Fabric made from natural or synthetic fibers, may include blends."
used fun-sized medicine bottle,Glass,Broken glass should be wrapped and labeled before disposal.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
Local bed sheet,Textile Trash,Look for textile recycling programs in your area.,,"Fabric made from natural or synthetic fibers, may include blends."
dirty pink pizza box leaking,Cardboard,"Remove any plastic, styrofoam, or metal parts before recycling.","Pizza boxes with food stains should go in organic waste or general trash, not recycling.",Thick paper pulp formed into corrugated or solid sheets.
folded enormous purple tree bark containing residue,Vegetation,Some municipalities offer special collection services.,Invasive species may require special disposal. Large branches might need separate collection.,Plant matter composed primarily of cellulose and lignin.
clean silver shampoo bottle,Plastic,Remove labels if possible.,Plastic bags often can not go in general recycling. Check for recycling numbers (1-7) on containers.,Polymer materials derived from petrochemicals or plant-based sources.
perfume bottle,Glass,Rinse container before recycling.,"Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
dry travel-sized silver glass tabletop,Glass,"Remove caps, lids, and corks before recycling.","Window glass, drinking glasses, and ceramics should not go in container glass recycling.","Silica-based material, may contain additives for color or strength."
